"","V1"
"2000-01-13",6.91633466135458
"2000-01-14",6.90438247011952
"2000-01-17",6.86127490039841
"2000-01-18",6.81115537848606
"2000-01-19",6.81115537848606
"2000-01-20",6.8089641434263
"2000-01-21",6.78772908366534
"2000-01-24",6.76430278884462
"2000-01-25",6.75258964143426
"2000-01-26",6.75258964143426
"2000-01-27",6.77816733067729
"2000-01-28",6.76629482071713
"2000-01-31",6.70573705179283
"2000-02-01",6.70573705179283
"2000-02-02",6.69402390438247
"2000-02-03",6.68231075697211
"2000-02-04",6.68195219123506
"2000-02-07",6.65808764940239
"2000-02-08",6.65808764940239
"2000-02-09",6.68306772908366
"2000-02-10",6.67203187250996
"2000-02-11",6.61848605577689
"2000-02-14",6.57035856573705
"2000-02-15",6.5596812749004
"2000-02-16",6.54900398406375
"2000-02-17",6.54900398406375
"2000-02-18",6.46852589641434
"2000-02-21",6.44780876494024
"2000-02-22",6.43745019920319
"2000-02-23",6.40418326693227
"2000-02-24",6.40418326693227
"2000-02-25",6.39346613545817
"2000-02-28",6.37203187250996
"2000-02-29",6.36131474103586
"2000-03-01",6.3108764940239
"2000-03-02",6.27183266932271
"2000-03-03",6.17330677290837
"2000-03-08",6.14282868525896
"2000-03-09",6.13266932270916
"2000-03-10",6.13876494023904
"2000-03-13",6.11438247011952
"2000-03-14",6.11438247011952
"2000-03-15",6.07203187250996
"2000-03-16",5.99203187250996
"2000-03-17",5.99812749003984
"2000-03-20",5.96860557768924
"2000-03-21",5.97290836653386
"2000-03-22",5.96314741035857
"2000-03-23",5.95338645418327
"2000-03-24",5.95338645418327
"2000-03-27",5.93386454183267
"2000-03-28",5.92410358565737
"2000-03-29",5.91434262948207
"2000-03-30",5.91434262948207
"2000-03-31",5.90458167330677
"2000-04-03",5.88505976095618
"2000-04-04",5.86254980079681
"2000-04-05",5.83035856573705
"2000-04-06",5.83035856573705
"2000-04-07",5.84681274900398
"2000-04-10",5.82792828685259
"2000-04-11",5.81848605577689
"2000-04-12",5.81848605577689
"2000-04-13",5.81625498007968
"2000-04-14",5.7996015936255
"2000-04-17",5.78780876494024
"2000-04-18",5.77832669322709
"2000-04-19",5.79243027888446
"2000-04-20",5.85756972111554
"2000-04-24",5.83187250996016
"2000-04-25",5.83187250996016
"2000-04-26",5.7890438247012
"2000-04-27",5.80617529880478
"2000-04-28",5.80617529880478
"2000-05-02",5.78203187250996
"2000-05-03",5.64741035856574
"2000-05-04",5.69043824701195
"2000-05-05",5.69043824701195
"2000-05-08",5.67609561752988
"2000-05-09",5.6494422310757
"2000-05-10",5.61011952191235
"2000-05-11",5.59721115537849
"2000-05-12",5.58402390438247
"2000-05-15",5.53254980079681
"2000-05-16",5.52605577689243
"2000-05-17",5.51956175298805
"2000-05-18",5.51956175298805
"2000-05-19",5.51306772908366
"2000-05-22",5.48780876494024
"2000-05-23",5.47529880478088
"2000-05-24",5.45577689243028
"2000-05-25",5.449203187251
"2000-05-26",5.44262948207171
"2000-05-29",5.40916334661355
"2000-05-30",5.36135458167331
"2000-05-31",5.36135458167331
"2000-06-01",5.35418326693227
"2000-06-02",5.34701195219123
"2000-06-05",5.28103585657371
"2000-06-06",5.28103585657371
"2000-06-07",5.19003984063745
"2000-06-08",5.26741035856574
"2000-06-09",5.26175298804781
"2000-06-12",5.24143426294821
"2000-06-13",5.24143426294821
"2000-06-14",5.23466135458167
"2000-06-15",5.22788844621514
"2000-06-16",5.22788844621514
"2000-06-19",5.21434262948207
"2000-06-20",5.20756972111554
"2000-06-21",5.200796812749
"2000-06-23",5.1703187250996
"2000-06-26",5.15637450199203
"2000-06-27",5.14940239043825
"2000-06-28",5.14243027888446
"2000-06-29",5.14243027888446
"2000-06-30",5.12027888446215
"2000-07-03",5.09163346613546
"2000-07-04",5.08490039840637
"2000-07-05",5.08490039840637
"2000-07-06",5.07816733067729
"2000-07-07",5.05199203187251
"2000-07-08",5.07768924302789
"2000-07-11",5.05856573705179
"2000-07-12",5.00597609561753
"2000-07-13",4.999203187251
"2000-07-14",5.00310756972112
"2000-07-17",4.98972111553785
"2000-07-18",4.98972111553785
"2000-07-19",4.98302788844622
"2000-07-20",4.97633466135458
"2000-07-21",4.97633466135458
"2000-07-24",4.95625498007968
"2000-07-25",4.95625498007968
"2000-07-26",4.94956175298805
"2000-07-27",4.96868525896414
"2000-07-28",4.97298804780876
"2000-07-31",4.95904382470119
"2000-08-01",4.96043824701195
"2000-08-02",4.95338645418327
"2000-08-03",4.95752988047809
"2000-08-04",4.95043824701195
"2000-08-07",4.93625498007968
"2000-08-08",4.92916334661355
"2000-08-09",4.92207171314741
"2000-08-10",4.92207171314741
"2000-08-11",4.90888446215139
"2000-08-14",4.9099203187251
"2000-08-15",4.90262948207171
"2000-08-16",4.90505976095618
"2000-08-17",4.97410358565737
"2000-08-18",4.9706374501992
"2000-08-21",4.98884462151394
"2000-08-22",4.98127490039841
"2000-08-23",4.92996015936255
"2000-08-24",4.92207171314741
"2000-08-25",4.95964143426295
"2000-08-28",4.94442231075697
"2000-08-29",4.94442231075697
"2000-08-30",4.94697211155379
"2000-08-31",4.9492828685259
"2000-09-01",4.97601593625498
"2000-09-04",4.94864541832669
"2000-09-05",4.95509960159363
"2000-09-06",4.98107569721116
"2000-09-08",4.96689243027888
"2000-09-11",4.94820717131474
"2000-09-12",4.94043824701195
"2000-09-13",4.93266932270916
"2000-09-14",4.93266932270916
"2000-09-15",4.92490039840637
"2000-09-18",4.9093625498008
"2000-09-19",4.93745019920319
"2000-09-20",4.92988047808765
